"time","actual","sarima_fc","ets_fc","tbats_fc","sarima_err","ets_err","tbats_err","sarima_abs","ets_abs","tbats_abs"
Jan 2020,116.362428510984,127.560640961054,88.5586731969365,82.6383885916868,11.1982124500702,-27.8037553140474,-33.7240399192971,11.1982124500702,27.8037553140474,33.7240399192971
Feb 2020,32.1008465735543,68.429001192739,91.1856016088248,78.6349179425583,36.3281546191846,59.0847550352705,46.5340713690039,36.3281546191846,59.0847550352705,46.5340713690039
Mar 2020,55.8592345243117,37.5583436178062,42.9458193694719,39.4058123265589,-18.3008909065054,-12.9134151548398,-16.4534221977528,18.3008909065054,12.9134151548398,16.4534221977528
Apr 2020,59.5208899951167,89.1860564895579,85.033097137707,75.0368007277235,29.6651664944412,25.5122071425904,15.5159107326069,29.6651664944412,25.5122071425904,15.5159107326069
May 2020,73.047487941051,63.8440097465008,81.3455923620506,55.2290365707223,-9.20347819455015,8.29810442099968,-17.8184513703286,9.20347819455015,8.29810442099968,17.8184513703286
Jun 2020,26.8378553748119,47.5658674629828,40.7660619114523,40.299417614792,20.7280120881709,13.9282065366405,13.4615622399801,20.7280120881709,13.9282065366405,13.4615622399801
Jul 2020,95.7697687967458,96.9114546070944,98.4252629249336,73.5616166292002,1.14168581034863,2.65549412818787,-22.2081521675456,1.14168581034863,2.65549412818787,22.2081521675456
Aug 2020,35.9142325019059,78.3464058522909,59.9615496230989,43.9452673320459,42.432173350385,24.0473171211931,8.03103483013999,42.432173350385,24.0473171211931,8.03103483013999
Sep 2020,40.4698985648592,50.1962212735128,50.0703412987251,50.9157880022114,9.72632270865363,9.60044273386593,10.4458894373522,9.72632270865363,9.60044273386593,10.4458894373522
Oct 2020,124.482745266462,131.693848503091,124.741048104309,117.181699556082,7.21110323662963,0.258302837847395,-7.30104571037975,7.21110323662963,0.258302837847395,7.30104571037975
Nov 2020,40.0229950602571,61.8675844109367,46.5585998440901,32.5245992677775,21.8445893506796,6.53560478383299,-7.4983957924796,21.8445893506796,6.53560478383299,7.4983957924796
Dec 2020,57.4075733021833,38.7701281748493,12.0296123950053,13.5560821249844,-18.637445127334,-45.3779609071781,-43.8514911771989,18.637445127334,45.3779609071781,43.8514911771989
