"date","mean","lower_80","upper_80","lower_95","upper_95"
2021-01-01,100.988616153174,44.5100845079843,157.467147798365,14.6121558526967,187.365076453652
2021-02-01,55.4102164615074,-1.15037300292563,111.970805925941,-31.0917404437813,141.912173366796
2021-03-01,57.1870230280793,0.581186990857383,113.792859065301,-29.3841325387962,143.758178594955
2021-04-01,78.4634499583411,17.3041382156823,139.622761701,-15.0716457472534,171.998545663936
2021-05-01,65.8393733406039,4.63356087544592,127.045185805762,-27.7668390830408,159.445585764249
2021-06-01,48.3787363079059,-12.8533851240801,109.610857739892,-45.2677122083313,142.025184824143
2021-07-01,90.2757372892331,28.2972588465866,152.25421573188,-4.51216577306602,185.063640351532
2021-08-01,60.3944508503386,-1.59999003145703,122.388891732134,-34.4178646559688,155.206766356646
2021-09-01,55.1251102743745,-6.87833747111787,117.128558019867,-39.7009800412608,149.95120059001
2021-10-01,112.708880221077,50.576216586326,174.841543855829,17.6851712563083,207.732589185847
2021-11-01,55.8378373396617,-6.29923226057863,117.974906939902,-39.1926099678378,150.868284647161
2021-12-01,42.7911934904892,-19.3468443540875,104.929231335066,-52.2407346189371,137.823121599916
2022-01-01,95.335637222589,31.8724917852122,158.798782659966,-1.72286806668336,192.394142511861
2022-02-01,62.7856171124632,-0.684963958663829,126.25619818359,-34.2842599972997,159.855494222226
2022-03-01,51.8493789248955,-11.6254419209969,115.324199770788,-45.2269823608196,148.925740210611
2022-04-01,76.6709769330617,12.9742031642571,140.367750701866,-20.7448320556308,174.086785921754
2022-05-01,68.8196257947667,5.11954935574659,132.519702233787,-28.6012341921448,166.240485781678
2022-06-01,47.9936807031326,-15.7082844431217,111.695645849387,-49.4300678122282,145.417429218493
2022-07-01,87.4055615593363,23.6653316441745,151.145791474498,-10.0767078700102,184.887830988683
2022-08-01,62.591557570028,-1.1496915602784,126.332806700334,-34.8922706143695,160.075385754425
2022-09-01,55.5451050025729,-8.19654660833599,119.286756613482,-41.9393387227881,153.029548727934
2022-10-01,107.21247759773,43.4641273384169,170.960827857044,9.71778917370021,204.70716602176
2022-11-01,57.9281236273562,-5.82048875881621,121.676736013529,-39.5669656851101,155.423212939822
2022-12-01,45.4163858002818,-18.3310961995652,109.163867800129,-52.0769747354845,142.909746336048
